,Index,Company Name,Symbol,Sector,Industry
0,2,5N Plus Inc.,VNP,Basic Materials,Metals & Mining
1,4,A&W Revenue Rylty Un,AW.UN,Consumer Cyclical,Restaurants
2,6,Aberdeen Asia-Pacifc,FAP,Financial Services,Asset Management
3,8,Aberdeen Int'l. J,AAB,Financial Services,Asset Management
4,10,Absolute Software J,ABT,Technology,Application Software
5,12,Acadian Timber Corp.,ADN,Basic Materials,Forest Products
6,14,Acasta Entrpr Cl B,AEF,Industrials,Conglomerates
7,15,Acasta Entrpr Wt,AEF.WT,Industrials,Conglomerates
8,17,Accelerate Absol Heg,HDGE,nan,nan
9,19,AccelerateCA Benchmk,ATSX,nan,nan
10,21,Accelerate PrivEqAlp,ALFA,nan,nan
11,23,Accord Financial,ACD,Financial Services,Credit Services
12,24,Accord Fin Corp 7%Db,ACD.DB,nan,nan
13,26,Acerus Pharma Corp J,ASP,Healthcare,Drug Manufacturers
14,27,Acerus Pharma J Wt,ASP.WT,nan,nan
15,29,ADF Group Inc. SV,DRX,Industrials,Industrial Products
16,31,Advantage Oil & Gas,AAV,Energy,Oil & Gas - E&P
17,33,Advntg Cdn HiYld Bnd,AHY.UN,nan,nan
18,35,Advanz Pharma Corp.J,ADVZ,Healthcare,Biotechnology
19,36,Advanz Pharma Corp.J,ADVZ.U,Healthcare,Biotechnology
20,38,Aecon Group Inc.,ARE,Industrials,Engineering & Construction
21,39,Aecon Group 5% Deb C,ARE.DB.C,nan,nan
22,41,AEterna Zentaris Inc,AEZS,Healthcare,Biotechnology
23,43,Africa Oil Corp. J,AOI,Energy,Oil & Gas - E&P
24,45,Ag Growth Int'l Inc.,AFN,Industrials,Farm & Construction Machinery
25,46,Ag Growth Intl2020Db,AFN.DB.C,nan,nan
26,47,AG Growth Intl4.85Db,AFN.DB.D,nan,nan
27,48,AG Growth Intl 4.5Db,AFN.DB.E,nan,nan
28,49,Ag Growth Intl 5.4Db,AFN.DB.F,nan,nan
29,51,AGF Management B NV,AGF.B,Financial Services,Asset Management
30,53,AGFiQ EnhanCoreCA Eq,QCD,,
31,55,AGFiQ CoreEmrgMktsUn,QEM,,
32,57,AGFiQ EnhCoreIntl Eq,QIE,,
33,59,AGFiQ EnhanCoreUS Eq,QUS,,
34,61,AGFiQ Glbl Eq Rotate,QGL,,
35,63,AGFiQ MultiAssetAloc,QMA,,
36,65,AGFiQ MultiAssetIncm,QMY,,
37,67,AgJunction Inc.,AJX,Technology,Communication Equipment
38,69,Agnico Eagle Mines,AEM,Basic Materials,Metals & Mining
39,71,Aimia Inc.,AIM,Industrials,Business Services
40,72,Aimia Inc. Ser 1 Pr,AIM.PR.A,Industrials,Business Services
41,73,Aimia Inc. Ser 2 Pr,AIM.PR.B,Industrials,Business Services
42,74,Aimia Inc. Ser 3 Pr,AIM.PR.C,Industrials,Business Services
43,76,Air Canada Vote & VV,AC,Industrials,Airlines
44,78,Airboss of America J,BOS,Consumer Cyclical,Autos
45,80,Akita Drill Cl A NV,AKT.A,Energy,Oil & Gas - Drilling
46,81,Akita Drilling Cl B,AKT.B,Energy,Oil & Gas - Drilling
47,83,Akumin Inc. J,AKU,Healthcare,Medical Diagnostics & Research
48,84,Akumin Inc. J USF,AKU.U,Healthcare,Medical Diagnostics & Research
49,86,Alacer Gold Corp. J,ASR,Basic Materials,Metals & Mining
50,88,Alamos Gold Inc. J,AGI,Basic Materials,Metals & Mining
51,90,Alaris Royalty Corp.,AD,Financial Services,Credit Services
52,91,Alaris Royalty Deb,AD.DB,nan,nan
53,93,Alcanna Inc.,CLIQ,Consumer Cyclical,Retail - Apparel & Specialty
54,94,Alcanna Inc 31JA22Db,CLIQ.DB,nan,nan
55,96,Alderon Iron Ore J,IRON,Basic Materials,Metals & Mining
56,98,Aleafia Health J,ALEF,Healthcare,Drug Manufacturers
57,100,Alexco Resource J,AXR,Industrials,Waste Management
58,102,Algoma Central Corp,ALC,Industrials,Transportation & Logistics
59,103,Algoma Centrl 5.25Db,ALC.DB.A,nan,nan
60,105,Algonquin Pwr & Util,AQN,Utilities,Utilities - Independent Power Producers
61,106,Algonquin Pwr A Pr,AQN.PR.A,Utilities,Utilities - Independent Power Producers
62,107,Algonquin Pwr D Pr,AQN.PR.D,Utilities,Utilities - Independent Power Producers
63,109,Alignvest AcquisA RV,AQY.A,Financial Services,Asset Management
64,110,Alignvest AcquisJ Wt,AQY.WT,nan,nan
65,112,Alimentation Cl A MV,ATD.A,Consumer Defensive,Retail - Defensive
66,113,Alimentation Cl B SV,ATD.B,Consumer Defensive,Retail - Defensive
67,115,Alio Gold Inc. J,ALO,Basic Materials,Metals & Mining
