Index,Company Name,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
1,"ATA Creativity Global - American Depositary Shares, each representing two common shares",AACG,0.92,Consumer Defensive,Education,,,,
2,"American Airlines Group, Inc. - Common Stock",AAL,18.55,Industrials,Transportation,Scheduled Passenger Air Transportation(481111),,,
3,Atlantic American Corporation - Common Stock,AAME,1.9,Financial Services,Insurance,Direct Life Insurance Carriers(524113),,,
4,"Applied Optoelectronics, Inc. - Common Stock",AAOI,9.695,Technology,Semiconductors,Semiconductor and Related Device Manufacturing(334413),,,
5,"AAON, Inc. - Common Stock",AAON,57.29,Industrials,Construction,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing(333415),,,
6,Apple Inc. - Common Stock,AAPL,343.99,Technology,Hardware,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing(334220),,,
7,Atlas Air Worldwide Holdings - Common Stock,AAWW,41.31,Industrials,Transportation,Other Nonscheduled Air Transportation(481219),,,
8,iShares MSCI All Country Asia ex Japan Index Fund,AAXJ,69.61,,,,,,
9,"Axon Enterprise, Inc. - Common Stock",AAXN,100.27,Industrials,Aerospace & Defense,Ammunition (except Small Arms) Manufacturing(332993),,,
10,Ameris Bancorp - Common Stock,ABCB,28.34,Financial Services,Banks,Commercial Banking(522110),,,
11,Abeona Therapeutics Inc. - Common Stock,ABEO,2.9,Healthcare,Biotechnology,In-Vitro Diagnostic Substance Manufacturing(325413),,,
12,"ARCA biopharma, Inc. - Common Stock",ABIO,8.0,Healthcare,Biotechnology,In-Vitro Diagnostic Substance Manufacturing(325413),,,
13,"ABIOMED, Inc. - Common Stock",ABMD,245.62,Healthcare,Medical Devices & Instruments,Surgical and Medical Instrument Manufacturing(339112),,,
14,"Allegiance Bancshares, Inc. - Common Stock",ABTX,29.2,Financial Services,Banks,Commercial Banking(522110),,,
15,Arbutus Biopharma Corporation - Common Stock,ABUS,1.91,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
16,ACADIA Pharmaceuticals Inc. - Common Stock,ACAD,47.49,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
17,Acamar Partners Acquisition Corp. - Class A Common Stock,ACAM,10.03,Financial Services,Diversified Financial Services,All Other Miscellaneous Wood Product Manufacturing(321999),,,
18,Acamar Partners Acquisition Corp. - Units,ACAMU,10.33,Financial Services,Diversified Financial Services,All Other Miscellaneous Wood Product Manufacturing(321999),,,
19,Acamar Partners Acquisition Corp. - Warrant,ACAMW,,nan,nan,nan,,,
20,"Atlantic Capital Bancshares, Inc. - Common Stock",ACBI,13.14,Financial Services,Banks,Commercial Banking(522110),,,
21,Acer Therapeutics Inc. - Common Stock,ACER,3.14,Healthcare,Biotechnology,Biological Product (except Diagnostic) Manufacturing(325414),,,
22,Arch Capital Group Ltd. - Common Stock,ACGL,34.38,Financial Services,Insurance,Reinsurance Carriers(524130),,,
23,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",ACGLO,25.52,Financial Services,Insurance,Reinsurance Carriers(524130),,,
24,Arch Capital Group Ltd. - Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs,ACGLP,24.99,Financial Services,Insurance,Reinsurance Carriers(524130),,,
25,"Acadia Healthcare Company, Inc. - Common Stock",ACHC,29.32,Healthcare,Healthcare Providers & Services,General Medical and Surgical Hospitals(622110),,,
26,"Achieve Life Sciences, Inc.  - Common Shares",ACHV,0.4508,Healthcare,Biotechnology,In-Vitro Diagnostic Substance Manufacturing(325413),,,
27,"Acacia Communications, Inc. - Common Stock",ACIA,67.6,Technology,Hardware,Telephone Apparatus Manufacturing(334210),,,
28,AC Immune SA - Common Stock,ACIU,6.81,Healthcare,Biotechnology,,,,
29,"ACI Worldwide, Inc. - Common Stock",ACIW,28.29,Technology,Software,Software Publishers(511210),,,
30,"Axcelis Technologies, Inc. - Common Stock",ACLS,27.88,Technology,Semiconductors,Semiconductor Machinery Manufacturing(333242),,,
31,"ACM Research, Inc. - Class A Common Stock",ACMR,57.46,Technology,Semiconductors,Semiconductor and Related Device Manufacturing(334413),,,
32,ACNB Corporation - Common Stock,ACNB,27.17,Financial Services,Banks,Commercial Banking(522110),,,
33,"Acorda Therapeutics, Inc. - Common Stock",ACOR,0.9749,Healthcare,Biotechnology,Biological Product (except Diagnostic) Manufacturing(325414),,,
34,"Aclaris Therapeutics, Inc. - Common Stock",ACRS,1.585,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
35,"AcelRx Pharmaceuticals, Inc. - Common Stock",ACRX,1.47,Healthcare,Drug Manufacturers,Medicinal and Botanical Manufacturing(325411),,,
36,"Acasti Pharma, Inc. - Class A Common Stock",ACST,0.7751,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
37,AdvisorShares Vice ETF,ACT,23.97,,,,,,
38,Acacia Research Corporation - Common Stock,ACTG,3.73,Industrials,Business Services,All Other Business Support Services(561499),,,
39,Act II Global Acquisition Corp. - Class A Ordinary Shares,ACTT,10.14,Financial Services,Diversified Financial Services,Offices of Other Holding Companies(551112),,,
40,Act II Global Acquisition Corp. - Unit,ACTTU,10.55,Financial Services,Diversified Financial Services,Offices of Other Holding Companies(551112),,,
41,Act II Global Acquisition Corp. - Warrant,ACTTW,,nan,nan,nan,,,
42,iShares MSCI ACWI Index Fund,ACWI,76.66,,,,,,
43,iShares MSCI ACWI ex US Index Fund,ACWX,44.93,,,,,,
44,Adaptimmune Therapeutics plc - American Depositary Shares,ADAP,11.15,Healthcare,Biotechnology,,,,
45,Adobe Inc. - Common Stock,ADBE,397.16,Technology,Software,Software Publishers(511210),,,
46,"Advanced Emissions Solutions, Inc. - Common Stock",ADES,5.69,Industrials,Industrial Products,All Other Miscellaneous Chemical Product and Preparation Manufacturing(325998),,,
47,"Analog Devices, Inc. - Common Stock",ADI,123.39,Technology,Semiconductors,Semiconductor and Related Device Manufacturing(334413),,,
48,"Adial Pharmaceuticals, Inc - Common Stock",ADIL,1.45,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
49,"Adial Pharmaceuticals, Inc - Warrant",ADILW,,nan,nan,nan,,,
50,ADMA Biologics Inc - Common Stock,ADMA,3.02,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
51,Adamis Pharmaceuticals Corporation - Common Stock,ADMP,0.6298,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
52,"Adamas Pharmaceuticals, Inc. - Common Stock",ADMS,3.16,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
53,"Automatic Data Processing, Inc. - Common Stock",ADP,157.69,Industrials,Business Services,All Other Business Support Services(561499),,,
54,Adaptive Biotechnologies Corporation - Common Stock,ADPT,41.5,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
55,Invesco BLDRS Emerging Markets 50 ADR Index Fund,ADRE,40.44,,,,,,
56,"Aduro Biotech, Inc. - Common Stock",ADRO,2.52,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
57,"Autodesk, Inc. - Common Stock",ADSK,234.15,Technology,Software,Software Publishers(511210),,,
58,"ADTRAN, Inc. - Common Stock",ADTN,11.61,Technology,Hardware,Other Communications Equipment Manufacturing(334290),,,
59,Addus HomeCare Corporation - Common Stock,ADUS,97.2,Healthcare,Healthcare Providers & Services,Home Health Care Services(621610),,,
60,"Adverum Biotechnologies, Inc. - Common Stock",ADVM,23.42,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
61,Addex Therapeutics Ltd - American Depositary Shares,ADXN,,nan,nan,nan,,,
62,"Advaxis, Inc. - Common Stock",ADXS,0.839,Healthcare,Biotechnology,Biological Product (except Diagnostic) Manufacturing(325414),,,
63,Aegion Corp - Class A Common Stock,AEGN,17.22,Industrials,Construction,Water and Sewer Line and Related Structures Construction(237110),,,
64,Aehr Test Systems - Common Stock,AEHR,2.03,Technology,Semiconductors,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals(334515),,,
65,"Advanced Energy Industries, Inc. - Common Stock",AEIS,69.96,Industrials,Industrial Products,All Other Miscellaneous Electrical Equipment and Component Manufacturing(335999),,,
66,"Aethlon Medical, Inc. - Common Stock",AEMD,1.53,Healthcare,Medical Devices & Instruments,Surgical and Medical Instrument Manufacturing(339112),,,
67,"Aerie Pharmaceuticals, Inc. - Common Stock",AERI,15.3,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
68,"Allied Esports Entertainment, Inc. - Common Stock",AESE,3.37,Financial Services,Diversified Financial Services,Offices of Other Holding Companies(551112),,,
69,"ADDvantage Technologies Group, Inc. - Common Stock",AEY,4.055,Technology,Hardware,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing(334220),,,
70,"AudioEye, Inc. - Common Stock",AEYE,9.05,Technology,Software,Software Publishers(511210),,,
71,Aeterna Zentaris Inc. - Common Stock,AEZS,1.2,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
72,"Atlas Financial Holdings, Inc. - Ordinary Shares",AFH,0.4399,Financial Services,Insurance,All Other Insurance Related Activities(524298),,,
73,"American Finance Trust, Inc. - Class A Common Stock",AFIN,9.13,Real Estate,REITs,Lessors of Other Real Estate Property(531190),,,
74,"American Finance Trust, Inc. - 7.50% Series A Cumulative Redeemable Perpetual Preferred Stock",AFINP,22.73,Real Estate,REITs,Lessors of Other Real Estate Property(531190),,,
75,Affimed N.V. - Common Stock,AFMD,3.31,Healthcare,Biotechnology,Biological Product (except Diagnostic) Manufacturing(325414),,,
76,Afya Limited - Class A Common Shares,AFYA,21.94,Consumer Defensive,Education,Educational Support Services(611710),,,
77,AGBA Acquisition Limited - Ordinary Share,AGBA,10.11,Financial Services,Diversified Financial Services,,,,
78,AGBA Acquisition Limited - Right,AGBAR,,nan,nan,nan,,,
79,AGBA Acquisition Limited - Unit,AGBAU,10.22,Financial Services,Diversified Financial Services,,,,
80,AGBA Acquisition Limited - Warrant,AGBAW,,nan,nan,nan,,,
