Index,Company,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
1,,A,,,,,,,
2,,AA,,,,,,,
3,,AACG,,,,,,,
4,,AAL,,,,,,,
5,,AAMC,,,,,,,
6,,AAME,,,,,,,
7,,AAN,,,,,,,
8,,AAOI,,,,,,,
9,,AAON,,,,,,,
10,,AAP,,,,,,,
11,,AAPL,,,,,,,
12,,AAT,,,,,,,
13,,AAU,,,,,,,
14,,AAWW,,,,,,,
15,,AAXN,,,,,,,
16,,AB,,,,,,,
17,,ABB,,,,,,,
18,,ABBV,,,,,,,
19,,ABC,,,,,,,
20,,ABCB,,,,,,,
21,,ABEO,,,,,,,
22,,ABEV,,,,,,,
23,,ABG,,,,,,,
24,,ABIO,,,,,,,
25,,ABM,,,,,,,
26,,ABMD,,,,,,,
27,,ABR,,,,,,,
28,,ABRpA,,,,,,,
29,,ABRpB,,,,,,,
30,,ABRpC,,,,,,,
31,,ABT,,,,,,,
32,,ABTX,,,,,,,
33,,ABUS,,,,,,,
34,,AC,,,,,,,
35,,ACA,,,,,,,
36,,ACAD,,,,,,,
37,,ACAM,,,,,,,
38,,ACAMU,,,,,,,
39,,ACB,,,,,,,
40,,ACBI,,,,,,,
41,,ACC,,,,,,,
42,,ACCO,,,,,,,
43,,ACEL,,,,,,,
44,,ACER,,,,,,,
45,,ACGL,,,,,,,
46,,ACGLO,,,,,,,
47,,ACGLP,,,,,,,
48,,ACH,,,,,,,
49,,ACHC,,,,,,,
50,,ACHV,,,,,,,
51,,ACIA,,,,,,,
52,,ACIU,,,,,,,
53,,ACIW,,,,,,,
54,,ACLS,,,,,,,
55,,ACM,,,,,,,
56,,ACMR,,,,,,,
57,,ACN,,,,,,,
58,,ACNB,,,,,,,
59,,ACOR,,,,,,,
60,,ACP,,,,,,,
61,,ACRE,,,,,,,
62,,ACRS,,,,,,,
63,,ACRX,,,,,,,
64,,ACST,,,,,,,
65,,ACTG,,,,,,,
66,,ACTT,,,,,,,
67,,ACTTU,,,,,,,
68,,ACU,,,,,,,
69,,ACV,,,,,,,
70,,ACY,,,,,,,
71,,ADAP,,,,,,,
72,,ADBE,,,,,,,
73,,ADC,,,,,,,
74,,ADCT,,,,,,,
75,,ADES,,,,,,,
76,,ADI,,,,,,,
77,,ADIL,,,,,,,
78,,ADM,,,,,,,
79,,ADMA,,,,,,,
80,,ADMP,,,,,,,
81,,ADMS,,,,,,,
82,,ADNT,,,,,,,
83,,ADP,,,,,,,
84,,ADPT,,,,,,,
85,,ADRO,,,,,,,
86,,ADS,,,,,,,
87,,ADSK,,,,,,,
88,,ADSW,,,,,,,
89,,ADT,,,,,,,
90,,ADTN,,,,,,,
91,,ADUS,,,,,,,
92,,ADVM,,,,,,,
93,,ADX,,,,,,,
94,,ADXN,,,,,,,
95,,ADXS,,,,,,,
96,,AE,,,,,,,
97,,AEB,,,,,,,
98,,AEE,,,,,,,
99,,AEF,,,,,,,
100,,AEG,,,,,,,
101,,AEGN,,,,,,,
102,,AEHR,,,,,,,
103,,AEIS,,,,,,,
104,,AEL,,,,,,,
105,,AELpA,,,,,,,
106,,AEM,,,,,,,
107,,AEMD,,,,,,,
108,,AEO,,,,,,,
109,,AEP,,,,,,,
110,,AEPpB,,,,,,,
111,,AER,,,,,,,
112,,AERI,,,,,,,
113,,AES,,,,,,,
114,,AESE,,,,,,,
115,,AEY,,,,,,,
116,,AEYE,,,,,,,
117,,AEZS,,,,,,,
118,,AFB,,,,,,,
119,,AFC,,,,,,,
120,,AFG,,,,,,,
121,,AFGB,,,,,,,
122,,AFGC,,,,,,,
123,,AFGD,,,,,,,
124,,AFGH,,,,,,,
125,,AFH,,,,,,,
126,,AFI,,,,,,,
127,,AFIN,,,,,,,
128,,AFINP,,,,,,,
129,,AFL,,,,,,,
