Index,Company Name,Symbol,Sector,Industry
2,5N Plus Inc.,VNP,,
4,A&W Revenue Rylty Un,AW.UN,,
6,Aberdeen Asia-Pacifc,FAP,,
8,Aberdeen Int'l. J,AAB,,
10,Absolute Software J,ABT,,
12,Acadian Timber Corp.,ADN,,
14,Acasta Entrpr Cl B,AEF,,
15,Acasta Entrpr Wt,AEF.WT,,
17,Accelerate Absol Heg,HDGE,,
19,AccelerateCA Benchmk,ATSX,,
21,Accelerate PrivEqAlp,ALFA,,
23,Accord Financial,ACD,,
24,Accord Fin Corp 7%Db,ACD.DB,,
26,Acerus Pharma Corp J,ASP,,
27,Acerus Pharma J Wt,ASP.WT,,
29,ADF Group Inc. SV,DRX,,
31,Advantage Oil & Gas,AAV,,
33,Advntg Cdn HiYld Bnd,AHY.UN,,
35,Advanz Pharma Corp.J,ADVZ,,
36,Advanz Pharma Corp.J,ADVZ.U,,
38,Aecon Group Inc.,ARE,,
39,Aecon Group 5% Deb C,ARE.DB.C,,
41,AEterna Zentaris Inc,AEZS,,
43,Africa Oil Corp. J,AOI,,
45,Ag Growth Int'l Inc.,AFN,,
46,Ag Growth Intl2020Db,AFN.DB.C,,
47,AG Growth Intl4.85Db,AFN.DB.D,,
48,AG Growth Intl 4.5Db,AFN.DB.E,,
49,Ag Growth Intl 5.4Db,AFN.DB.F,,
51,AGF Management B NV,AGF.B,,
53,AGFiQ EnhanCoreCA Eq,QCD,,
55,AGFiQ CoreEmrgMktsUn,QEM,,
57,AGFiQ EnhCoreIntl Eq,QIE,,
59,AGFiQ EnhanCoreUS Eq,QUS,,
61,AGFiQ Glbl Eq Rotate,QGL,,
63,AGFiQ MultiAssetAloc,QMA,,
65,AGFiQ MultiAssetIncm,QMY,,
67,AgJunction Inc.,AJX,,
69,Agnico Eagle Mines,AEM,,
71,Aimia Inc.,AIM,,
72,Aimia Inc. Ser 1 Pr,AIM.PR.A,,
73,Aimia Inc. Ser 2 Pr,AIM.PR.B,,
74,Aimia Inc. Ser 3 Pr,AIM.PR.C,,
76,Air Canada Vote & VV,AC,,
78,Airboss of America J,BOS,,
80,Akita Drill Cl A NV,AKT.A,,
81,Akita Drilling Cl B,AKT.B,,
83,Akumin Inc. J,AKU,,
84,Akumin Inc. J USF,AKU.U,,
86,Alacer Gold Corp. J,ASR,,
88,Alamos Gold Inc. J,AGI,,
90,Alaris Royalty Corp.,AD,,
91,Alaris Royalty Deb,AD.DB,,
93,Alcanna Inc.,CLIQ,,
94,Alcanna Inc 31JA22Db,CLIQ.DB,,
96,Alderon Iron Ore J,IRON,,
98,Aleafia Health J,ALEF,,
100,Alexco Resource J,AXR,,
102,Algoma Central Corp,ALC,,
103,Algoma Centrl 5.25Db,ALC.DB.A,,
105,Algonquin Pwr & Util,AQN,,
106,Algonquin Pwr A Pr,AQN.PR.A,,
107,Algonquin Pwr D Pr,AQN.PR.D,,
109,Alignvest AcquisA RV,AQY.A,,
110,Alignvest AcquisJ Wt,AQY.WT,,
112,Alimentation Cl A MV,ATD.A,,
113,Alimentation Cl B SV,ATD.B,,
115,Alio Gold Inc. J,ALO,,
117,Alithya Group J A SV,ALYA,,
119,Allbanc Splt 2 Cap A,ALB,,
120,Allbanc Splt II Pr 2,ALB.PR.C,,
122,Allied Prop. REIT Un,AP.UN,,
124,Almaden Minerals,AMM,,
126,Almonty Industries J,AII,,
128,AltaGas Canada Inc.,ACI,,
130,AltaGas Ltd.,ALA,,
131,AltaGas Ltd Sr A Pr,ALA.PR.A,,
132,AltaGas Ltd Sr B Pr,ALA.PR.B,,
133,AltaGas Ltd Sr E Pr,ALA.PR.E,,
134,AltaGas Ltd Sr G Pr,ALA.PR.G,,
135,AltaGas Ltd Sr I Pr,ALA.PR.I,,
136,AltaGas Ltd Sr K Pr,ALA.PR.K,,
137,AltaGas Ltd C Pr USF,ALA.PR.U,,
139,Altius Minerals Corp,ALS,,
140,Altius Minerals Pr,ALS.PR.A,,
142,Altus Group Limited,AIF,,
144,American Hotl Deb US,HOT.DB.U,,
145,American Hotl Un USF,HOT.U,,
146,American Hotl LP Un,HOT.UN,,
148,Americas Silver J,USA,,
150,Amerigo Resources J,ARG,,
152,Anaconda Mining J,ANX,,
154,Andrew Peller A NV,ADW.A,,
155,Andrew Peller Ltd. B,ADW.B,,
157,Anglo Pacific Ord,APY,,
159,Aphria Inc. J,APHA,,
161,Aptose Biosciences,APS,,
163,Aquila Resources J,AQA,,
165,ARC Resources Ltd.,ARX,,
167,Argonaut Gold Inc. J,AR,,
169,Aritzia Inc. SV,ATZ,,
171,Artis REIT Ser A Pr,AX.PR.A,,
172,Artis REIT Ser E Pr,AX.PR.E,,
173,Artis REIT Ser G Pr,AX.PR.G,,
174,Artis REIT Ser I Pr,AX.PR.I,,
175,Artis REIT Un,AX.UN,,
177,Asanko Gold Inc. J,AKG,,
179,Ascendant Res J,ASND,,
180,Ascendant Res J Wt,ASND.WT,,
182,Atalaya Mining Ord J,AYM,,
184,ATCO Ltd. Cl I NV,ACO.X,,
185,ATCO Ltd. Cl II,ACO.Y,,
187,Athabasca Oil Corp J,ATH,,
189,Atlantic Power,ATP,,
190,Atlantic Pwr 6% Db E,ATP.DB.E,,
192,Atlantic Pwr Eq Pr 1,AZP.PR.A,,
193,Atlantic Pwr Eq Pr 2,AZP.PR.B,,
194,Atlantic Pwr Eq Pr 3,AZP.PR.C,,
196,Atlatsa Res Corp. J,ATL,,
198,Atrium Mtg Invest,AI,,
199,Atrium Mtg Inv5.25Db,AI.DB,,
200,Atrium Mtg Inv 5.5Db,AI.DB.B,,
201,Atrium Mtg Inv 5.3Db,AI.DB.C,,
202,Atrium Mtg Inv 5.5Db,AI.DB.D,,
203,Atrium Mtg Inv 5.6Db,AI.DB.E,,
205,ATS Automation Tool,ATA,,
207,Aura Minerals Inc. J,ORA,,
209,Aurinia Pharma Inc J,AUP,,
211,Aurora Cannabis J,ACB,,
212,Aurora Cannabs J Wt,ACB.WT,,
214,Auryn Resources J,AUG,,
216,Australian REIT A Un,HRR.UN,,
218,AutoCanada Inc.,ACQ,,
220,Automotive Ppty Un,APR.UN,,
222,Avalon Advncd Mtrl J,AVL,,
224,Avcorp Industries,AVP,,
226,Avesoro Res Inc. J,ASO,,
228,Avino Silver & Gld J,ASM,,
229,Avino Silvr&Gld J Wt,ASM.WT,,
231,Azarga Uranium A J,AZZ,,
233,B2Gold Corp. J,BTO,,
235,Badger Daylighting,BAD,,
237,Ballard Power Sys,BLDP,,
239,Balmoral Resources J,BAR,,
241,Bank of Montreal,BMO,,
242,Bk of Mon Pr Ser 26,BMO.PR.A,,
243,Bk of Mon Pr Ser 38,BMO.PR.B,,
244,Bk of Mon Pr Ser 40,BMO.PR.C,,
245,Bk of Mon Pr Ser 42,BMO.PR.D,,
246,Bk of Mon Pr Ser 44,BMO.PR.E,,
247,Bk of Mon Pr Ser 46,BMO.PR.F,,
248,Bk of Mon Pr Ser 25,BMO.PR.Q,,
249,Bk of Mon Pr Ser 27,BMO.PR.S,,
250,Bk of Mon Pr Ser 29,BMO.PR.T,,
251,Bk of Mon Pr Ser 31,BMO.PR.W,,
252,Bk of Mon Pr Ser 33,BMO.PR.Y,,
253,Bk of Mon Pr Ser 35,BMO.PR.Z,,
255,Bank of Nova Scotia,BNS,,
256,Bank of N S Sr 31 Pr,BNS.PR.D,,
257,Bank of N S Sr 34 Pr,BNS.PR.E,,
258,Bank of N S Sr 33 Pr,BNS.PR.F,,
259,Bank of N S Sr 36 Pr,BNS.PR.G,,
260,Bank of N S Sr 38 Pr,BNS.PR.H,,
261,Bank of N S Sr 40 Pr,BNS.PR.I,,
262,Bank of N S Sr 30 Pr,BNS.PR.Y,,
263,Bank of N S Sr 32 Pr,BNS.PR.Z,,
265,Barclays Bank NtI-28,BXS.DB.C,,
267,Barrick Gold Corp,ABX,,
269,Bausch Health Co,BHC,,
271,Baylin Tech Inc. J,BYL,,
272,Baylin Tech J Deb,BYL.DB,,
274,Baytex Energy Corp.,BTE,,
276,BCE Inc.,BCE,,
277,BCE Inc. Pr Ser AA,BCE.PR.A,,
278,BCE Inc. Pr Ser AB,BCE.PR.B,,
279,BCE Inc. Pr Ser AC,BCE.PR.C,,
280,BCE Inc. Pr Ser AD,BCE.PR.D,,
281,BCE Inc. Pr Ser AE,BCE.PR.E,,
282,BCE Inc. Pr Ser AF,BCE.PR.F,,
283,BCE Inc. Pr Ser AG,BCE.PR.G,,
284,BCE Inc. Pr Ser AH,BCE.PR.H,,
285,BCE Inc. Pr Ser AI,BCE.PR.I,,
286,BCE Inc. Pr Ser AJ,BCE.PR.J,,
287,BCE Inc. Pr Ser AK,BCE.PR.K,,
288,BCE Inc. Pr Ser AL,BCE.PR.L,,
289,BCE Inc. Pr Ser AM,BCE.PR.M,,
290,BCE Inc. Pr Ser AN,BCE.PR.N,,
291,BCE Inc. Pr Ser AO,BCE.PR.O,,
292,BCE Inc. Pr Ser AQ,BCE.PR.Q,,
293,BCE Inc. Pr Ser R,BCE.PR.R,,
294,BCE Inc. Pr Ser S,BCE.PR.S,,
295,BCE Inc. Pr Ser T,BCE.PR.T,,
296,BCE Inc. Pr Series Y,BCE.PR.Y,,
297,BCE Inc. Pr Series Z,BCE.PR.Z,,
299,Becker Milk Cl B NV,BEK.B,,
301,Bellatrix Expl Ltd.,BXE,,
303,BELLUS Health Inc.,BLU,,
305,Belo Sun Mining J,BSX,,
307,Bengal Energy Ltd. J,BNG,,
309,BetaProCdnGldMn-2xBr,HGD,,
311,BetaProCdnGldMnr2xBl,HGU,,
313,BetaPro CrdOil-2x Br,HOD,,
315,BetaPro CrudeOil2xBl,HOU,,
317,BetaPro GldBul-2x Br,HBD,,
319,BetaPro GldBul 2x Bl,HBU,,
321,BetaPro MarijCo2xBul,HMJU,,
323,BetaPro MarijCoInvrA,HMJI,,
325,BetaProNSDQ100 -2xBr,HQD,,
326,BtaProNSDQ100-2xBrUS,HQD.U,,
328,BetaProNASDQ100 2xBl,HQU,,
330,BetaProNatGas -2x Br,HND,,
332,BetaPro NatGas 2xBul,HNU,,
334,BetaPro S&P500 -2xBr,HSD,,
336,BetaPro S&P500 2x Bl,HSU,,
338,BetaProSP500DlyInvrs,HIU,,
340,BetaProSP500 ST Futr,HUV,,
342,BetaProS&PTSX60-2xBr,HXD,,
344,BetaProS&PTSX60 2xBl,HXU,,
346,BetaPro60 DailyInvrs,HIX,,
348,BetaProS&PTSXEngy-2x,HED,,
350,BetaProS&PTSX Engy2x,HEU,,
352,BetaProSPTSX Fin -2x,HFD,,
