Index,Company Name,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
1,1st Natl Fin Sr 1 Pr,FN.PR.A,8.49,Financial Services,Banks,Mortgage and Nonmortgage Loan Brokers(522310),,,
2,1st Natl Fin Sr 2 Pr,FN.PR.B,8.5,Financial Services,Banks,Mortgage and Nonmortgage Loan Brokers(522310),,,
3,1st Tr AlphEmrgMktAd,FDE.A,11.06,,,,,,
4,1st Tr AlphEmrgMktUn,FDE,11.09,,,,,,
5,1st Tr CboeUS Eq Heg,FEBB.F,28.25,,,,,,
6,1st Tr CdnCapStrngAd,FST.A,24.14,,,,,,
7,1st Tr CdnCapStrngUn,FST,29.1,,,,,,
8,1st Tr DrsyWrgtUSRot,FSR,19.53,,,,,,
9,1st Tr Glb RskMngeAd,ETP.A,16.74,,,,,,
10,1st Tr Glb RskMngeUn,ETP,17.16,,,,,,
11,1st Tr SnrLoan Cad-H,FSL,17.15,,,,,,
12,1st Tr SnrLoanC-H Ad,FSL.A,17.16,,,,,,
13,1st Tr TacticlBnd Un,FTB,16.1,,,,,,
14,1st Tr ValLnDivCA-Hg,FUD,24.72,,,,,,
15,1st TrAlphDEX EU Div,EUR,17.94,,,,,,
16,1st TrAlphDX EUDivAd,EUR.A,17.16,,,,,,
17,1st TrCboeVesUS EqHg,NOVB.F,28.71,,,,,,
18,1st TrIdx InnovTrans,BLCK,19.09,,,,,,
19,1st TrIntlCapStrngth,FINT,19.9,,,,,,
20,1st TrValLnDiCA-HgAd,FUD.A,24.58,,,,,,
21,1stTr AlpDEX US Dscr,FHD,23.98,,,,,,
22,1stTr AlpDEX US Hlth,FHH,33.9,,,,,,
23,1stTr AlpDEX US Mtrl,FHM,21.31,,,,,,
24,1stTr AlpDEX US Stpl,FHC,25.38,,,,,,
25,1stTr AlpDEX US Tech,FHQ,52.94,,,,,,
26,1stTr AlpDEX US Util,FHU,24.94,,,,,,
27,1stTr AlpDEX USStpHg,FHC.F,17.95,,,,,,
28,1stTr AlpDEXUSTechHg,FHQ.F,28.97,,,,,,
29,1stTr AlpDXUSHlth Hg,FHH.F,25.68,,,,,,
30,1stTr AlphDEX US Fin,FHF,24.53,,,,,,
31,1stTr AlphDEX US Heg,FHG.F,16.76,,,,,,
32,1stTr AlphDEX US Ind,FHG,26.14,,,,,,
33,1stTr CboeVestUSEqHg,AUGB.F,,nan,nan,nan,,,
34,1stTrAlphDEX US Engy,FHE,6.02,,,,,,
35,1stTrCboeVestUS EqHg,MAYB.F,30.74,,,,,,
36,5N Plus Inc.,VNP,1.8,Basic Materials,Chemicals,Petrochemical Manufacturing(325110),,,
37,A&W Revenue Rylty Un,AW.UN,26.86,Consumer Cyclical,Restaurants,Full-Service Restaurants(722511),,,
38,Aberdeen Asia-Pacifc,FAP,2.81,Financial Services,Asset Management,Portfolio Management(523920),,,
39,Aberdeen Int'l. J,AAB,0.035,Financial Services,Asset Management,Portfolio Management(523920),,,
40,Absolute Software J,ABT,13.17,Technology,Software,Software Publishers(511210),,,
41,Acadian Timber Corp.,ADN,13.68,Basic Materials,Forest Products,Forest Nurseries and Gathering of Forest Products(113210),,,
42,Acasta Entrpr Cl B,AEF,0.68,Consumer Defensive,Consumer Packaged Goods,Soap and Other Detergent Manufacturing(325611),,,
43,Acasta Entrpr Wt,AEF.WT,0.005,Consumer Defensive,Consumer Packaged Goods,Soap and Other Detergent Manufacturing(325611),,,
44,Accelerate Absol Heg,HDGE,,nan,nan,nan,,,
45,Accelerate ArbitrgUn,ARB,21.02,,,,,,
46,Accelerate PrivEqAlp,ALFA,,nan,nan,nan,,,
47,AccelerateCA Benchmk,ATSX,,nan,nan,nan,,,
48,Accord Fin Corp 7%Db,ACD.DB,,nan,nan,nan,,,
49,Accord Financial,ACD,6.51,Financial Services,Credit Services,Sales Financing(522220),,,
50,Acerus Pharma Corp J,ASP,0.06,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
51,Acerus Pharma J Wt,ASP.WT,,nan,nan,nan,,,
52,AcuityAds Hldgs J,AT,1.04,Communication Services,Interactive Media,Other Services Related to Advertising(541890),,,
53,ADF Group Inc. SV,DRX,0.88,Industrials,Industrial Products,Fabricated Structural Metal Manufacturing(332312),,,
54,Advantage Oil & Gas,AAV,2.01,Energy,Oil & Gas,Crude Petroleum Extraction(211120),,,
55,Aecon Group 5% Deb C,ARE.DB.C,,nan,nan,nan,,,
56,Aecon Group Inc.,ARE,14.44,Industrials,Construction,Other Heavy and Civil Engineering Construction(237990),,,
57,AEterna Zentaris Inc,AEZS,1.55,Healthcare,Biotechnology,Pharmaceutical Preparation Manufacturing(325412),,,
58,Africa Oil Corp. J,AOI,1.08,Energy,Oil & Gas,Crude Petroleum Extraction(211120),,,
59,AG Growth Intl 4.5Db,AFN.DB.E,,nan,nan,nan,,,
60,Ag Growth Intl 5.4Db,AFN.DB.F,,nan,nan,nan,,,
61,Ag Growth Int'l Inc.,AFN,28.14,Industrials,Farm & Heavy Construction Machinery,Farm Machinery and Equipment Manufacturing(333111),,,
62,AG Growth Intl4.85Db,AFN.DB.D,,nan,nan,nan,,,
63,Ag Growth Intl5.25Db,AFN.DB.G,,nan,nan,nan,,,
64,AG GrowthIntlDec26Db,AFN.DB.H,,nan,nan,nan,,,
65,AGF Management B NV,AGF.B,4.28,Financial Services,Asset Management,Portfolio Management(523920),,,
66,AGFiQ Cdn Eqty Un,QCD,24.82,,,,,,
67,AGFiQ EmergMkt Eq Un,QEM,25.29,,,,,,
68,AGFiQ Glb IncmPortfl,QMY,25.26,,,,,,
69,AGFiQ GlbBal Portfl,QMA,28.86,,,,,,
70,AGFiQ Glbl Eq Portfl,QGL,28.79,,,,,,
71,AGFiQ Intl Eq ETF Un,QIE,26.21,,,,,,
72,AGFiQ US AntiBetCAHg,QBTL,,nan,nan,nan,,,
73,AGFiQ US Eqty ETF Un,QUS,33.22,,,,,,
74,AGFiQ US Lg/ShDvIncm,QUDV,,nan,nan,nan,,,
75,AgJunction Inc.,AJX,0.22,Technology,Hardware,Other Communications Equipment Manufacturing(334290),,,
76,Agnico Eagle Mines,AEM,86.93,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
77,Aimia Inc.,AIM,2.57,Industrials,Business Services,All Other Business Support Services(561499),,,
78,Aimia Inc. Ser 1 Pr,AIM.PR.A,13.05,Industrials,Business Services,All Other Business Support Services(561499),,,
79,Aimia Inc. Ser 3 Pr,AIM.PR.C,16.19,Industrials,Business Services,All Other Business Support Services(561499),,,
80,Air Canada Vote & VV,AC,16.32,Industrials,Transportation,Scheduled Passenger Air Transportation(481111),,,
81,Airboss of America J,BOS,16.6,Basic Materials,Chemicals,All Other Miscellaneous Chemical Product and Preparation Manufacturing(325998),,,
82,Akita Drill Cl A NV,AKT.A,0.37,Energy,Oil & Gas,Crude Petroleum Extraction(211120),,,
83,Akita Drilling Cl B,AKT.B,0.74,Energy,Oil & Gas,Crude Petroleum Extraction(211120),,,
84,Akumin Inc. J,AKU,2.93,Healthcare,Medical Diagnostics & Research,Diagnostic Imaging Centers(621512),,,
85,Akumin Inc. J USF,AKU.U,2.15,Healthcare,Medical Diagnostics & Research,Diagnostic Imaging Centers(621512),,,
86,Alacer Gold Corp. J,ASR,8.92,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
87,Alamos Gold Inc. J,AGI,11.24,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
88,Alaris Royalty Corp.,AD,10.7,Industrials,Conglomerates,Offices of Other Holding Companies(551112),,,
89,Alaris Royalty Deb,AD.DB,,nan,nan,nan,,,
90,Alcanna Inc 31JA22Db,CLIQ.DB,,nan,nan,nan,,,
91,Alcanna Inc.,CLIQ,2.8,Consumer Cyclical,Retail - Cyclical,"Beer, Wine, and Liquor Stores(445310)",,,
92,Aleafia Health J,AH,0.58,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
93,Aleafia Health J Deb,AH.DB,,nan,nan,nan,,,
94,Aleafia Health J Wt,AH.WT,0.07,Healthcare,Drug Manufacturers,Pharmaceutical Preparation Manufacturing(325412),,,
95,Aleafia Hlth J A Wt,AH.WT.A,,nan,nan,nan,,,
96,Alexco Resource J,AXU,3.33,Industrials,Waste Management,All Other Miscellaneous Waste Management Services(562998),,,
97,Algoma Central Corp,ALC,9.48,Industrials,Transportation,Deep Sea Freight Transportation(483111),,,
98,Algoma Centrl 5.25Db,ALC.DB.A,,nan,nan,nan,,,
99,Algonquin Pwr & Util,AQN,19.345,Utilities,Utilities - Independent Power Producers,Other Electric Power Generation(221118),,,
100,Algonquin Pwr A Pr,AQN.PR.A,16.85,Utilities,Utilities - Independent Power Producers,Other Electric Power Generation(221118),,,
101,Algonquin Pwr D Pr,AQN.PR.D,17.08,Utilities,Utilities - Independent Power Producers,Other Electric Power Generation(221118),,,
102,Alimentation Cl A MV,ATD.A,42.33,Consumer Defensive,Retail - Defensive,Convenience Stores(445120),,,
103,Alimentation Cl B SV,ATD.B,42.16,Consumer Defensive,Retail - Defensive,Convenience Stores(445120),,,
104,Alio Gold Inc. J,ALO,1.32,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
105,Alithya Group J A SV,ALYA,2.34,Technology,Software,All Other Business Support Services(561499),,,
106,Allbanc Splt 2 Cap A,ALB,19.33,Financial Services,Asset Management,Portfolio Management(523920),,,
107,Allbanc Splt II Pr 2,ALB.PR.C,25.01,Financial Services,Asset Management,Portfolio Management(523920),,,
108,Allied Prop. REIT Un,AP.UN,38.76,Real Estate,REITs,Lessors of Nonresidential Buildings (except Miniwarehouses)(531120),,,
109,Almaden Minerals,AMM,0.66,Basic Materials,Metals & Mining,Gold Ore Mining(212221),,,
110,Almonty Industries J,AII,0.54,Basic Materials,Metals & Mining,All Other Metal Ore Mining(212299),,,
111,AltaGas Ltd C Pr USF,ALA.PR.U,13.81,Utilities,Utilities - Regulated,Natural Gas Distribution(221210),,,
112,AltaGas Ltd Sr A Pr,ALA.PR.A,10.4,Utilities,Utilities - Regulated,Natural Gas Distribution(221210),,,
113,AltaGas Ltd Sr B Pr,ALA.PR.B,10.3,Utilities,Utilities - Regulated,Natural Gas Distribution(221210),,,
114,AltaGas Ltd Sr E Pr,ALA.PR.E,14.65,Utilities,Utilities - Regulated,Natural Gas Distribution(221210),,,
115,AltaGas Ltd Sr G Pr,ALA.PR.G,12.29,Utilities,Utilities - Regulated,Natural Gas Distribution(221210),,,
116,AltaGas Ltd Sr H Pr,ALA.PR.H,11.5,Utilities,Utilities - Regulated,Natural Gas Distribution(221210),,,
117,AltaGas Ltd Sr I Pr,ALA.PR.I,20.35,Utilities,Utilities - Regulated,Natural Gas Distribution(221210),,,
118,AltaGas Ltd Sr K Pr,ALA.PR.K,19.15,Utilities,Utilities - Regulated,Natural Gas Distribution(221210),,,
119,AltaGas Ltd.,ALA,14.985,Utilities,Utilities - Regulated,Natural Gas Distribution(221210),,,
120,Altius Minerals Corp,ALS,10.15,Basic Materials,Metals & Mining,All Other Metal Ore Mining(212299),,,
121,Altius Minerals Pr,ALS.PR.A,10.0,Basic Materials,Metals & Mining,All Other Metal Ore Mining(212299),,,
122,Altus Group Limited,AIF,42.945,Real Estate,Real Estate,Lessors of Other Real Estate Property(531190),,,
123,American Hotl Deb US,HOT.DB.U,,nan,nan,nan,,,
124,American Hotl LP Un,HOT.UN,2.62,Real Estate,REITs,Lessors of Other Real Estate Property(531190),,,
125,American Hotl Un USF,HOT.U,1.8,Real Estate,REITs,Lessors of Other Real Estate Property(531190),,,
126,Americas Gold Slvr J,USA,3.715,Basic Materials,Metals & Mining,Silver Ore Mining(212222),,,
