Index,Company,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
1,1st Natl Fin Sr 1 Pr,FN.PR.A,,,,,,,
2,1st Natl Fin Sr 2 Pr,FN.PR.B,,,,,,,
3,1st Tr AlphEmrgMktAd,FDE.A,,,,,,,
4,1st Tr AlphEmrgMktUn,FDE,,,,,,,
5,1st Tr CboeUS Eq Heg,FEBB.F,,,,,,,
6,1st Tr CdnCapStrngAd,FST.A,,,,,,,
7,1st Tr CdnCapStrngUn,FST,,,,,,,
8,1st Tr DrsyWrgtUSRot,FSR,,,,,,,
9,1st Tr Glb RskMngeAd,ETP.A,,,,,,,
10,1st Tr Glb RskMngeUn,ETP,,,,,,,
11,1st Tr SnrLoan Cad-H,FSL,,,,,,,
12,1st Tr SnrLoanC-H Ad,FSL.A,,,,,,,
13,1st Tr TacticlBnd Un,FTB,,,,,,,
14,1st Tr ValLnDivCA-Hg,FUD,,,,,,,
15,1st TrAlphDEX EU Div,EUR,,,,,,,
16,1st TrAlphDX EUDivAd,EUR.A,,,,,,,
17,1st TrCboeVesUS EqHg,NOVB.F,,,,,,,
18,1st TrIdx InnovTrans,BLCK,,,,,,,
19,1st TrIntlCapStrngth,FINT,,,,,,,
20,1st TrValLnDiCA-HgAd,FUD.A,,,,,,,
21,1stTr AlpDEX US Dscr,FHD,,,,,,,
22,1stTr AlpDEX US Hlth,FHH,,,,,,,
23,1stTr AlpDEX US Mtrl,FHM,,,,,,,
24,1stTr AlpDEX US Stpl,FHC,,,,,,,
25,1stTr AlpDEX US Tech,FHQ,,,,,,,
26,1stTr AlpDEX US Util,FHU,,,,,,,
27,1stTr AlpDEX USStpHg,FHC.F,,,,,,,
28,1stTr AlpDEXUSTechHg,FHQ.F,,,,,,,
29,1stTr AlpDXUSHlth Hg,FHH.F,,,,,,,
30,1stTr AlphDEX US Fin,FHF,,,,,,,
31,1stTr AlphDEX US Heg,FHG.F,,,,,,,
32,1stTr AlphDEX US Ind,FHG,,,,,,,
33,1stTr CboeVestUSEqHg,AUGB.F,,,,,,,
34,1stTrAlphDEX US Engy,FHE,,,,,,,
35,1stTrCboeVestUS EqHg,MAYB.F,,,,,,,
36,5N Plus Inc.,VNP,,,,,,,
37,A&W Revenue Rylty Un,AW.UN,,,,,,,
38,Aberdeen Asia-Pacifc,FAP,,,,,,,
39,Aberdeen Int'l. J,AAB,,,,,,,
40,Absolute Software J,ABT,,,,,,,
41,Acadian Timber Corp.,ADN,,,,,,,
42,Acasta Entrpr Cl B,AEF,,,,,,,
43,Acasta Entrpr Wt,AEF.WT,,,,,,,
44,Accelerate Absol Heg,HDGE,,,,,,,
45,Accelerate ArbitrgUn,ARB,,,,,,,
46,Accelerate PrivEqAlp,ALFA,,,,,,,
47,AccelerateCA Benchmk,ATSX,,,,,,,
48,Accord Fin Corp 7%Db,ACD.DB,,,,,,,
49,Accord Financial,ACD,,,,,,,
50,Acerus Pharma Corp J,ASP,,,,,,,
51,Acerus Pharma J Wt,ASP.WT,,,,,,,
52,AcuityAds Hldgs J,AT,,,,,,,
53,ADF Group Inc. SV,DRX,,,,,,,
54,Advantage Oil & Gas,AAV,,,,,,,
55,Aecon Group 5% Deb C,ARE.DB.C,,,,,,,
56,Aecon Group Inc.,ARE,,,,,,,
57,AEterna Zentaris Inc,AEZS,,,,,,,
58,Africa Oil Corp. J,AOI,,,,,,,
59,AG Growth Intl 4.5Db,AFN.DB.E,,,,,,,
60,Ag Growth Intl 5.4Db,AFN.DB.F,,,,,,,
61,Ag Growth Int'l Inc.,AFN,,,,,,,
62,AG Growth Intl4.85Db,AFN.DB.D,,,,,,,
63,Ag Growth Intl5.25Db,AFN.DB.G,,,,,,,
64,AG GrowthIntlDec26Db,AFN.DB.H,,,,,,,
65,AGF Management B NV,AGF.B,,,,,,,
66,AGFiQ Cdn Eqty Un,QCD,,,,,,,
67,AGFiQ EmergMkt Eq Un,QEM,,,,,,,
68,AGFiQ Glb IncmPortfl,QMY,,,,,,,
69,AGFiQ GlbBal Portfl,QMA,,,,,,,
70,AGFiQ Glbl Eq Portfl,QGL,,,,,,,
71,AGFiQ Intl Eq ETF Un,QIE,,,,,,,
72,AGFiQ US AntiBetCAHg,QBTL,,,,,,,
73,AGFiQ US Eqty ETF Un,QUS,,,,,,,
74,AGFiQ US Lg/ShDvIncm,QUDV,,,,,,,
75,AgJunction Inc.,AJX,,,,,,,
76,Agnico Eagle Mines,AEM,,,,,,,
77,Aimia Inc.,AIM,,,,,,,
78,Aimia Inc. Ser 1 Pr,AIM.PR.A,,,,,,,
79,Aimia Inc. Ser 3 Pr,AIM.PR.C,,,,,,,
80,Air Canada Vote & VV,AC,,,,,,,
81,Airboss of America J,BOS,,,,,,,
82,Akita Drill Cl A NV,AKT.A,,,,,,,
83,Akita Drilling Cl B,AKT.B,,,,,,,
84,Akumin Inc. J,AKU,,,,,,,
85,Akumin Inc. J USF,AKU.U,,,,,,,
86,Alacer Gold Corp. J,ASR,,,,,,,
87,Alamos Gold Inc. J,AGI,,,,,,,
88,Alaris Royalty Corp.,AD,,,,,,,
89,Alaris Royalty Deb,AD.DB,,,,,,,
90,Alcanna Inc 31JA22Db,CLIQ.DB,,,,,,,
91,Alcanna Inc.,CLIQ,,,,,,,
92,Aleafia Health J,AH,,,,,,,
93,Aleafia Health J Deb,AH.DB,,,,,,,
94,Aleafia Health J Wt,AH.WT,,,,,,,
95,Aleafia Hlth J A Wt,AH.WT.A,,,,,,,
96,Alexco Resource J,AXU,,,,,,,
97,Algoma Central Corp,ALC,,,,,,,
98,Algoma Centrl 5.25Db,ALC.DB.A,,,,,,,
99,Algonquin Pwr & Util,AQN,,,,,,,
100,Algonquin Pwr A Pr,AQN.PR.A,,,,,,,
101,Algonquin Pwr D Pr,AQN.PR.D,,,,,,,
102,Alimentation Cl A MV,ATD.A,,,,,,,
103,Alimentation Cl B SV,ATD.B,,,,,,,
104,Alio Gold Inc. J,ALO,,,,,,,
105,Alithya Group J A SV,ALYA,,,,,,,
106,Allbanc Splt 2 Cap A,ALB,,,,,,,
107,Allbanc Splt II Pr 2,ALB.PR.C,,,,,,,
108,Allied Prop. REIT Un,AP.UN,,,,,,,
109,Almaden Minerals,AMM,,,,,,,
110,Almonty Industries J,AII,,,,,,,
111,AltaGas Ltd C Pr USF,ALA.PR.U,,,,,,,
112,AltaGas Ltd Sr A Pr,ALA.PR.A,,,,,,,
113,AltaGas Ltd Sr B Pr,ALA.PR.B,,,,,,,
114,AltaGas Ltd Sr E Pr,ALA.PR.E,,,,,,,
115,AltaGas Ltd Sr G Pr,ALA.PR.G,,,,,,,
116,AltaGas Ltd Sr H Pr,ALA.PR.H,,,,,,,
117,AltaGas Ltd Sr I Pr,ALA.PR.I,,,,,,,
118,AltaGas Ltd Sr K Pr,ALA.PR.K,,,,,,,
119,AltaGas Ltd.,ALA,,,,,,,
120,Altius Minerals Corp,ALS,,,,,,,
121,Altius Minerals Pr,ALS.PR.A,,,,,,,
122,Altus Group Limited,AIF,,,,,,,
123,American Hotl Deb US,HOT.DB.U,,,,,,,
124,American Hotl LP Un,HOT.UN,,,,,,,
125,American Hotl Un USF,HOT.U,,,,,,,
126,Americas Gold Slvr J,USA,,,,,,,
127,Amerigo Resources J,ARG,,,,,,,
128,Anaconda Mining J,ANX,,,,,,,
129,AndlauerHlthcr GrpSV,AND,,,,,,,
130,Andrew Peller A NV,ADW.A,,,,,,,
131,Andrew Peller Ltd. B,ADW.B,,,,,,,
132,Anglo Pacific Ord,APY,,,,,,,
133,Aphria Inc. J,APHA,,,,,,,
134,Aptose Biosciences,APS,,,,,,,
135,Aquila Resources J,AQA,,,,,,,
136,ARC Resources Ltd.,ARX,,,,,,,
137,Argonaut Gold Inc. J,AR,,,,,,,
138,Aritzia Inc. SV,ATZ,,,,,,,
139,Artis REIT Ser A Pr,AX.PR.A,,,,,,,
140,Artis REIT Ser E Pr,AX.PR.E,,,,,,,
141,Artis REIT Ser I Pr,AX.PR.I,,,,,,,
142,Artis REIT Un,AX.UN,,,,,,,
143,Ascendant Res J,ASND,,,,,,,
144,Ascendant Res J Wt,ASND.WT,,,,,,,
145,Ascot Resources J,AOT,,,,,,,
146,Atalaya Mining Ord J,AYM,,,,,,,
147,ATCO Ltd. Cl I NV,ACO.X,,,,,,,
148,ATCO Ltd. Cl II,ACO.Y,,,,,,,
149,Athabasca Oil Corp J,ATH,,,,,,,
150,Atlantic Power,ATP,,,,,,,
151,Atlantic Pwr 6% Db E,ATP.DB.E,,,,,,,
152,Atlantic Pwr Eq Pr 1,AZP.PR.A,,,,,,,
153,Atlantic Pwr Eq Pr 2,AZP.PR.B,,,,,,,
154,Atlantic Pwr Eq Pr 3,AZP.PR.C,,,,,,,
155,Atrium Mtg Inv 5.3Db,AI.DB.C,,,,,,,
156,Atrium Mtg Inv 5.5Db,AI.DB.B,,,,,,,
157,Atrium Mtg Inv 5.5Db,AI.DB.D,,,,,,,
158,Atrium Mtg Inv 5.6Db,AI.DB.E,,,,,,,
159,Atrium Mtg Invest,AI,,,,,,,
160,ATS Automation Tool,ATA,,,,,,,
161,Aura Minerals Inc. J,ORA,,,,,,,
162,Aurinia Pharma Inc J,AUP,,,,,,,
163,Aurora Cannabis J,ACB,,,,,,,
164,Aurora Cannabs J Wt,ACB.WT,,,,,,,
165,Auryn Resources J,AUG,,,,,,,
166,Australian REIT A Un,HRR.UN,,,,,,,
167,AutoCanada Inc.,ACQ,,,,,,,
168,Automotive Ppty Un,APR.UN,,,,,,,
169,Avalon Advncd Mtrl J,AVL,,,,,,,
170,Avcorp Industries,AVP,,,,,,,
171,Avicanna Inc. J,AVCN,,,,,,,
172,Avino Silver & Gld J,ASM,,,,,,,
173,Azarga Uranium A J,AZZ,,,,,,,
174,B2Gold Corp.,BTO,,,,,,,
175,Badger Daylighting,BAD,,,,,,,
176,Ballard Power Sys,BLDP,,,,,,,
177,Bank of Montreal,BMO,,,,,,,
178,Bank of N S Sr 32 Pr,BNS.PR.Z,,,,,,,
179,Bank of N S Sr 33 Pr,BNS.PR.F,,,,,,,
180,Bank of N S Sr 34 Pr,BNS.PR.E,,,,,,,
181,Bank of N S Sr 36 Pr,BNS.PR.G,,,,,,,
182,Bank of N S Sr 38 Pr,BNS.PR.H,,,,,,,
183,Bank of N S Sr 40 Pr,BNS.PR.I,,,,,,,
184,Bank of Nova Scotia,BNS,,,,,,,
185,Barclays Bank NtI-28,BXS.DB.C,,,,,,,
186,Barrick Gold Corp,ABX,,,,,,,
187,Bausch Health Co,BHC,,,,,,,
188,Baylin Tech Inc. J,BYL,,,,,,,
189,Baylin Tech J Deb,BYL.DB,,,,,,,
190,Baytex Energy Corp.,BTE,,,,,,,
191,BCE Inc.,BCE,,,,,,,
192,BCE Inc. Pr Ser AA,BCE.PR.A,,,,,,,
193,BCE Inc. Pr Ser AB,BCE.PR.B,,,,,,,
194,BCE Inc. Pr Ser AC,BCE.PR.C,,,,,,,
195,BCE Inc. Pr Ser AD,BCE.PR.D,,,,,,,
196,BCE Inc. Pr Ser AE,BCE.PR.E,,,,,,,
197,BCE Inc. Pr Ser AF,BCE.PR.F,,,,,,,
198,BCE Inc. Pr Ser AG,BCE.PR.G,,,,,,,
199,BCE Inc. Pr Ser AH,BCE.PR.H,,,,,,,
200,BCE Inc. Pr Ser AI,BCE.PR.I,,,,,,,
201,BCE Inc. Pr Ser AJ,BCE.PR.J,,,,,,,
202,BCE Inc. Pr Ser AK,BCE.PR.K,,,,,,,
203,BCE Inc. Pr Ser AL,BCE.PR.L,,,,,,,
204,BCE Inc. Pr Ser AM,BCE.PR.M,,,,,,,
205,BCE Inc. Pr Ser AN,BCE.PR.N,,,,,,,
206,BCE Inc. Pr Ser AO,BCE.PR.O,,,,,,,
207,BCE Inc. Pr Ser AQ,BCE.PR.Q,,,,,,,
208,BCE Inc. Pr Ser R,BCE.PR.R,,,,,,,
209,BCE Inc. Pr Ser S,BCE.PR.S,,,,,,,
210,BCE Inc. Pr Ser T,BCE.PR.T,,,,,,,
211,BCE Inc. Pr Series Y,BCE.PR.Y,,,,,,,
212,BCE Inc. Pr Series Z,BCE.PR.Z,,,,,,,
213,Becker Milk Cl B NV,BEK.B,,,,,,,
214,BELLUS Health Inc.,BLU,,,,,,,
215,Belo Sun Mining J,BSX,,,,,,,
216,Bengal Energy Ltd. J,BNG,,,,,,,
217,Bespoke CapAcqJ WtUS,BC.WT.U,,,,,,,
218,BespokeCapAcqA RV US,BC.U,,,,,,,
219,BetaPro CrdOil-1x Br,HOD,,,,,,,
