Index,Company Name,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
1,01 Communique Laboratory Inc.,ONE,,,,,,,
2,1911 Gold Corporation,AUMB,,,,,,,
3,48North Cannabis Corp.,NRTH,,,,,,,
4,48North Cannabis Corp. wt 04apr2024,NRTH.WT,,,,,,,
5,49 North Resources Inc.,FNR,,,,,,,
6,9 Capital Corp.,NCPL.P,,,,,,,
7,92 Resources Corp.,NTY,,,,,,,
8,A-Labs Capital I Corp.,ALBS.P,,,,,,,
9,A-Labs Capital II Corp.,ALAB.P,,,,,,,
10,A.I.S. Resources Limited,AIS,,,,,,,
11,Abacus Mining & Exploration Corporation,AME,,,,,,,
12,Abcourt Mines Inc.,ABI,,,,,,,
13,Aben Resources Ltd.,ABN,,,,,,,
14,Abitibi Royalties Inc.,RZZ,,,,,,,
15,Abraplata Resource Corp.,ABRA,,,,,,,
16,Acasti Pharma Inc.,ACST,,,,,,,
17,Acceleware Ltd.,AXE,,,,,,,
18,Ackroo Inc.,AKR,,,,,,,
19,Adamera Minerals Corp.,ADZ,,,,,,,
20,Adcore Inc.,ADCO,,,,,,,
21,Adex Mining Inc,ADE,,,,,,,
22,ADL Ventures Inc.,AVI.P,,,,,,,
23,Advance Gold Corp.,AAX,,,,,,,
24,Advanced Proteome Therapeutics Corporation,APC,,,,,,,
25,Advantage Lithium Corp.,AAL,,,,,,,
26,Advent-AWI Holdings Inc.,AWI,,,,,,,
27,Adventus Mining Corporation,ADZN,,,,,,,
28,ADYA Inc.,ADYA,,,,,,,
29,Aequus Pharmaceuticals Inc.,AQS,,,,,,,
30,Aequus Pharmaceuticals Inc. db02May2022,AQS.DB,,,,,,,
31,Aequus Pharmaceuticals Inc. wt 02May2022,AQS.WT,,,,,,,
32,Aethon Minerals Corporation,AET,,,,,,,
33,AEX Gold Inc.,AEX,,,,,,,
34,AF1 Capital Corp.,AFC.P,,,,,,,
35,Affinity Metals Corp.,AFF,,,,,,,
36,Africa Energy Corp.,AFE,,,,,,,
37,"African Gold Group, Inc.",AGG,,,,,,,
38,Aguia Resources Limited,AGRL,,,,,,,
39,Aguila American Gold Limited,AGL,,,,,,,
40,AIM3 Ventures Inc.,AIMC.P,,,,,,,
41,AirIQ Inc,IQ,,,,,,,
42,Alba Minerals Ltd.,AA,,,,,,,
43,Albert Mining Inc.,AIIM,,,,,,,
44,Aldebaran Resources Inc.,ALDE,,,,,,,
45,Aldever Resources Inc.,ALD,,,,,,,
46,Alexandria Minerals Corporation,AZX,,,,,,,
47,Algold Resources Ltd.,ALG,,,,,,,
48,Alianza Minerals Ltd.,ANZ,,,,,,,
49,Allegiant Gold Ltd.,AUAU,,,,,,,
50,Alliance Mining Corp.,ALM,,,,,,,
51,Allied Hotel Properties Inc.,AHP,,,,,,,
52,Almadex Minerals Ltd.,DEX,,,,,,,
53,Aloro Mining Corp.,AORO,,,,,,,
54,Alpha Peak Leisure Inc.,AAP,,,,,,,
55,Alphamin Resources Corp.,AFM,,,,,,,
56,Alphanco Venture Corp.,AVC.P,,,,,,,
57,Alphinat Inc.,NPA,,,,,,,
58,Altai Resources Inc,ATI,,,,,,,
59,Altair Resources Inc.,AVX,,,,,,,
60,Altamira Gold Corp.,ALTA,,,,,,,
61,Altan Nevada Minerals Limited,ANE,,,,,,,
62,Altima Resources Ltd.,ARH,,,,,,,
63,Altiplano Metals Inc.,APN,,,,,,,
64,Alto Ventures Ltd.,ATV,,,,,,,
65,Altura Energy Inc.,ATU,,,,,,,
