Index,Company,Symbol,Price,Sector,Industry,NAICS,Beta,PE,EPS
1,01 Communique Laboratory Inc.,ONE,,,,,,,
2,1911 Gold Corporation,AUMB,,,,,,,
3,48North Cannabis Corp.,NRTH,,,,,,,
4,48North Cannabis Corp. wt 02apr2024,NRTH.WT,,,,,,,
5,49 North Resources Inc.,FNR,,,,,,,
6,9 Capital Corp.,NCPL.P,,,,,,,
7,A.I.S. Resources Limited,AIS,,,,,,,
8,A2Z Technologies Canada Corp.,AZ,,,,,,,
9,AAJ Capital 2 Corp.,AAJC.P,,,,,,,
10,Abacus Mining & Exploration Corporation,AME,,,,,,,
11,Abcourt Mines Inc.,ABI,,,,,,,
12,Aben Resources Ltd.,ABN,,,,,,,
13,Abigail Capital Corporation,ACC.P,,,,,,,
14,Abitibi Royalties Inc.,RZZ,,,,,,,
15,Abraplata Resource Corp.,ABRA,,,,,,,
16,Academy Metals Inc.,AM,,,,,,,
17,Acasti Pharma Inc.,ACST,,,,,,,
18,Acceleware Ltd.,AXE,,,,,,,
19,Ackroo Inc.,AKR,,,,,,,
20,Adamera Minerals Corp.,ADZ,,,,,,,
21,Adcore Inc.,ADCO,,,,,,,
22,Adex Mining Inc,ADE,,,,,,,
23,ADL Ventures Inc.,AVI.P,,,,,,,
24,Advance Gold Corp.,AAX,,,,,,,
25,Advanced Proteome Therapeutics Corporation,APC,,,,,,,
26,Advent-AWI Holdings Inc.,AWI,,,,,,,
27,Adventus Mining Corporation,ADZN,,,,,,,
28,ADYA Inc.,ADYA,,,,,,,
29,Aequus Pharmaceuticals Inc.,AQS,,,,,,,
30,Aequus Pharmaceuticals Inc. db02May2022,AQS.DB,,,,,,,
31,Aequus Pharmaceuticals Inc. wt 02May2022,AQS.WT,,,,,,,
32,AEX Gold Inc.,AEX,,,,,,,
33,AF1 Capital Corp.,AFC.P,,,,,,,
34,Affinity Metals Corp.,AFF,,,,,,,
35,Africa Energy Corp.,AFE,,,,,,,
36,"African Gold Group, Inc.",AGG,,,,,,,
37,Aftermath Silver Ltd.,AAG,,,,,,,
38,Aguila American Gold Limited,AGL,,,,,,,
39,AIM4 Ventures Inc.,AIMD.P,,,,,,,
40,Aiml Resources Inc.,AIML,,,,,,,
41,AirIQ Inc,IQ,,,,,,,
42,A-Labs Capital I Corp.,ALBS.P,,,,,,,
43,A-Labs Capital II Corp.,ALAB.P,,,,,,,
44,A-Labs Capital IV Corp.,ALCC.P,,,,,,,
45,Aldebaran Resources Inc.,ALDE,,,,,,,
46,Algold Resources Ltd.,ALG,,,,,,,
47,Alianza Minerals Ltd.,ANZ,,,,,,,
48,Allegiant Gold Ltd.,AUAU,,,,,,,
49,Alliance Mining Corp.,ALM,,,,,,,
50,Allied Hotel Properties Inc.,AHP,,,,,,,
51,Almadex Minerals Ltd.,DEX,,,,,,,
52,Aloro Mining Corp.,AORO,,,,,,,
53,Alpha Lithium Corporation,ALLI,,,,,,,
54,Alphamin Resources Corp.,AFM,,,,,,,
55,Alphanco Venture Corp.,AVC.P,,,,,,,
56,Alphinat Inc.,NPA,,,,,,,
57,Altai Resources Inc,ATI,,,,,,,
58,Altair Resources Inc.,AVX,,,,,,,
59,Altamira Gold Corp.,ALTA,,,,,,,
60,Altan Nevada Minerals Limited,ANE,,,,,,,
61,Altima Resources Ltd.,ARH,,,,,,,
62,Altiplano Metals Inc.,APN,,,,,,,
63,Alto Ventures Ltd.,ATV,,,,,,,
64,Altura Energy Inc.,ATU,,,,,,,
65,Alturas Minerals Corp,ALT,,,,,,,
